PassengerId,Pclass,Ticket,Fare,Cabin,Embarked
1,3,A/5 21171,7.25,?,S
2,1,PC 17599,71.2833,C85,C
3,3,STON/O2. 3101282,7.925,?,S
4,1,113803,53.1,C123,S
5,3,373450,8.05,?,S
6,3,330877,8.4583,?,Q
7,1,17463,51.8625,E46,S
8,3,349909,21.075,?,S
9,3,347742,11.1333,?,S
10,2,237736,30.0708,?,C
11,3,PP 9549,16.7,G6,S
12,1,113783,26.55,C103,S
13,3,A/5. 2151,8.05,?,S
14,3,347082,31.275,?,S
15,3,350406,7.8542,?,S
16,2,248706,16.0,?,S
17,3,382652,29.125,?,Q
18,2,244373,13.0,?,S
19,3,345763,18.0,?,S
20,3,2649,7.225,?,C
21,2,239865,26.0,?,S
22,2,248698,13.0,D56,S
23,3,330923,8.0292,?,Q
24,1,113788,35.5,A6,S
25,3,349909,21.075,?,S
26,3,347077,31.3875,?,S
27,3,2631,7.225,?,C
28,1,19950,263.0,C23 C25 C27,S
29,3,330959,7.8792,?,Q
30,3,349216,7.8958,?,S
31,1,PC 17601,27.7208,?,C
32,1,PC 17569,146.5208,B78,C
33,3,335677,7.75,?,Q
34,2,C.A. 24579,10.5,?,S
35,1,PC 17604,82.1708,?,C
36,1,113789,52.0,?,S
37,3,2677,7.2292,?,C
38,3,A./5. 2152,8.05,?,S
39,3,345764,18.0,?,S
40,3,2651,11.2417,?,C
41,3,7546,9.475,?,S
42,2,11668,21.0,?,S
43,3,349253,7.8958,?,C
44,2,SC/Paris 2123,41.5792,?,C
45,3,330958,7.8792,?,Q
46,3,S.C./A.4. 23567,8.05,?,S
47,3,370371,15.5,?,Q
48,3,14311,7.75,?,Q
49,3,2662,21.6792,?,C
50,3,349237,17.8,?,S
51,3,3101295,39.6875,?,S
52,3,A/4. 39886,7.8,?,S
53,1,PC 17572,76.7292,D33,C
54,2,2926,26.0,?,S
55,1,113509,61.9792,B30,C
56,1,19947,35.5,C52,S
57,2,C.A. 31026,10.5,?,S
58,3,2697,7.2292,?,C
59,2,C.A. 34651,27.75,?,S
60,3,CA 2144,46.9,?,S
61,3,2669,7.2292,?,C
62,1,113572,80.0,B28,S
63,1,36973,83.475,C83,S
64,3,347088,27.9,?,S
65,1,PC 17605,27.7208,?,C
66,3,2661,15.2458,?,C
67,2,C.A. 29395,10.5,F33,S
68,3,S.P. 3464,8.1583,?,S
69,3,3101281,7.925,?,S
70,3,315151,8.6625,?,S
71,2,C.A. 33111,10.5,?,S
72,3,CA 2144,46.9,?,S
73,2,S.O.C. 14879,73.5,?,S
74,3,2680,14.4542,?,C
75,3,1601,56.4958,?,S
76,3,348123,7.65,F G73,S
77,3,349208,7.8958,?,S
78,3,374746,8.05,?,S
79,2,248738,29.0,?,S
80,3,364516,12.475,?,S
81,3,345767,9.0,?,S
82,3,345779,9.5,?,S
83,3,330932,7.7875,?,Q
84,1,113059,47.1,?,S
85,2,SO/C 14885,10.5,?,S
86,3,3101278,15.85,?,S
87,3,W./C. 6608,34.375,?,S
88,3,SOTON/OQ 392086,8.05,?,S
89,1,19950,263.0,C23 C25 C27,S
90,3,343275,8.05,?,S
91,3,343276,8.05,?,S
92,3,347466,7.8542,?,S
93,1,W.E.P. 5734,61.175,E31,S
94,3,C.A. 2315,20.575,?,S
95,3,364500,7.25,?,S
96,3,374910,8.05,?,S
97,1,PC 17754,34.6542,A5,C
98,1,PC 17759,63.3583,D10 D12,C
99,2,231919,23.0,?,S
100,2,244367,26.0,?,S
101,3,349245,7.8958,?,S
102,3,349215,7.8958,?,S
103,1,35281,77.2875,D26,S
104,3,7540,8.6542,?,S
105,3,3101276,7.925,?,S
106,3,349207,7.8958,?,S
107,3,343120,7.65,?,S
108,3,312991,7.775,?,S
109,3,349249,7.8958,?,S
110,3,371110,24.15,?,Q
111,1,110465,52.0,C110,S
112,3,2665,14.4542,?,C
113,3,324669,8.05,?,S
114,3,4136,9.825,?,S
115,3,2627,14.4583,?,C
116,3,STON/O 2. 3101294,7.925,?,S
117,3,370369,7.75,?,Q
118,2,11668,21.0,?,S
119,1,PC 17558,247.5208,B58 B60,C
120,3,347082,31.275,?,S
121,2,S.O.C. 14879,73.5,?,S
122,3,A4. 54510,8.05,?,S
123,2,237736,30.0708,?,C
124,2,27267,13.0,E101,S
125,1,35281,77.2875,D26,S
126,3,2651,11.2417,?,C
127,3,370372,7.75,?,Q
128,3,C 17369,7.1417,?,S
129,3,2668,22.3583,F E69,C
130,3,347061,6.975,?,S
131,3,349241,7.8958,?,C
132,3,SOTON/O.Q. 3101307,7.05,?,S
133,3,A/5. 3337,14.5,?,S
134,2,228414,26.0,?,S
135,2,C.A. 29178,13.0,?,S
136,2,SC/PARIS 2133,15.0458,?,C
137,1,11752,26.2833,D47,S
138,1,113803,53.1,C123,S
139,3,7534,9.2167,?,S
140,1,PC 17593,79.2,B86,C
141,3,2678,15.2458,?,C
142,3,347081,7.75,?,S
143,3,STON/O2. 3101279,15.85,?,S
144,3,365222,6.75,?,Q
145,2,231945,11.5,?,S
146,2,C.A. 33112,36.75,?,S
147,3,350043,7.7958,?,S
148,3,W./C. 6608,34.375,?,S
149,2,230080,26.0,F2,S
150,2,244310,13.0,?,S
151,2,S.O.P. 1166,12.525,?,S
152,1,113776,66.6,C2,S
153,3,A.5. 11206,8.05,?,S
154,3,A/5. 851,14.5,?,S
155,3,Fa 265302,7.3125,?,S
156,1,PC 17597,61.3792,?,C
157,3,35851,7.7333,?,Q
158,3,SOTON/OQ 392090,8.05,?,S
159,3,315037,8.6625,?,S
160,3,CA. 2343,69.55,?,S
161,3,371362,16.1,?,S
162,2,C.A. 33595,15.75,?,S
163,3,347068,7.775,?,S
164,3,315093,8.6625,?,S
165,3,3101295,39.6875,?,S
166,3,363291,20.525,?,S
