weekday,date,high,low,close,volume,ticker
Friday,1/2/98,3.95098,3.28236,3.95098,24947201.1,AAPL
Monday,1/5/98,4.02635,3.69325,3.8902,22344145.08,AAPL
Tuesday,1/6/98,4.98432,3.58628,4.60502,63150252.55,AAPL
Wednesday,1/7/98,4.6804,4.20871,4.24032,36978255.52,AAPL
Thursday,1/8/98,4.52965,4.11875,4.39107,27687622.95,AAPL
Friday,1/9/98,4.71201,4.25491,4.43726,31624883.38,AAPL
Monday,1/12/98,4.52965,4.16495,4.46886,18300352.79,AAPL
Tuesday,1/13/98,4.77279,4.49804,4.76306,22182098.34,AAPL
Wednesday,1/14/98,4.84816,4.6804,4.78738,20340344.31,AAPL
Thursday,1/15/98,4.80196,4.52965,4.66581,19157062.33,AAPL
Friday,1/16/98,4.72659,4.54424,4.55883,8643666.36,AAPL
Tuesday,1/20/98,4.69499,4.52965,4.61962,8546191.97,AAPL
Wednesday,1/21/98,4.6342,4.51263,4.59044,6622588.92,AAPL
Thursday,1/22/98,4.80196,4.52965,4.69499,11570811.37,AAPL
Friday,1/23/98,4.78738,4.6804,4.74118,8400594.77,AAPL
Monday,1/26/98,4.75577,4.57341,4.71201,4971260.96,AAPL
Tuesday,1/27/98,4.78738,4.61962,4.6804,3926584.6,AAPL
Wednesday,1/28/98,4.71201,4.52965,4.6804,5436841.15,AAPL
Thursday,1/29/98,4.65122,4.49804,4.51263,7310675.58,AAPL
Friday,1/30/98,4.59044,4.43726,4.46886,5542952.31,AAPL
Monday,2/2/98,4.49804,4.22573,4.28652,19367643.36,AAPL
Tuesday,2/3/98,4.52965,4.3011,4.45185,13530202.79,AAPL
Wednesday,2/4/98,4.49804,4.37647,4.45185,6066938.85,AAPL
Thursday,2/5/98,4.49804,4.37647,4.46886,8240194.16,AAPL
Friday,2/6/98,4.54424,4.43726,4.48346,7246104.87,AAPL
Monday,2/9/98,4.74118,4.46886,4.6804,17131869.19,AAPL
Tuesday,2/10/98,4.75577,4.6342,4.71201,15058553.12,AAPL
Wednesday,2/11/98,4.74118,4.59044,4.6342,6720475.16,AAPL
Thursday,2/12/98,4.72659,4.6342,4.69499,6950384.6,AAPL
Friday,2/13/98,4.83357,4.61962,4.75577,7517552.12,AAPL
Tuesday,2/17/98,4.80196,4.74118,4.77279,6082562.91,AAPL
Wednesday,2/18/98,5.04511,4.75577,4.99161,17387690.47,AAPL
Thursday,2/19/98,5.0913,4.86275,4.98432,12324713.2,AAPL
Friday,2/20/98,4.9989,4.81656,4.84816,11469641.28,AAPL
Monday,2/23/98,5.25907,4.86275,5.16668,16722225.59,AAPL
Tuesday,2/24/98,5.19828,5.04511,5.16668,15811627.94,AAPL
Wednesday,2/25/98,5.53138,5.0913,5.42439,24962001.51,AAPL
Thursday,2/26/98,5.72832,5.31984,5.69914,20668128.64,AAPL
Friday,2/27/98,5.80612,5.48518,5.75993,18415086.09,AAPL
Monday,3/2/98,5.72832,5.40981,5.5022,13980566.94,AAPL
Tuesday,3/3/98,5.63836,5.25907,5.63836,11370927.19,AAPL
Wednesday,3/4/98,6.01766,5.56299,5.95687,29189245.2,AAPL
Thursday,3/5/98,5.89609,5.62377,5.84988,22448195.85,AAPL
Friday,3/6/98,5.95687,5.68456,5.92769,22245433.6,AAPL
Monday,3/9/98,5.91067,5.4706,5.5022,20243275.61,AAPL
Tuesday,3/10/98,5.95687,5.57757,5.8815,24480383.84,AAPL
Wednesday,3/11/98,6.36777,5.97146,6.35318,41535347.06,AAPL
Thursday,3/12/98,6.55012,6.2146,6.51852,25414830.14,AAPL
Friday,3/13/98,6.62549,6.38236,6.59632,19741915.16,AAPL
Monday,3/16/98,6.62549,6.36777,6.45773,14065704.19,AAPL
Tuesday,3/17/98,6.48934,6.2924,6.41397,14771883.89,AAPL
Wednesday,3/18/98,6.53554,6.32158,6.53554,9308721.44,AAPL
Thursday,3/19/98,6.55012,6.45773,6.48934,5507583.59,AAPL
Friday,3/20/98,6.53554,6.32158,6.41397,7319315.27,AAPL
Monday,3/23/98,6.38236,5.98848,6.33616,13704589.12,AAPL
Tuesday,3/24/98,6.80785,6.38236,6.79327,22041026.03,AAPL
Wednesday,3/25/98,6.74707,6.41397,6.61091,13234479.15,AAPL
Thursday,3/26/98,6.56471,6.42855,6.47475,6852910.18,AAPL
Friday,3/27/98,6.64009,6.41397,6.5793,8914703.42,AAPL
Monday,3/30/98,6.6717,6.50393,6.6717,8785973.6,AAPL
Tuesday,3/31/98,6.76165,6.62549,6.70087,9427588.92,AAPL
Wednesday,4/1/98,6.68628,6.5793,6.68628,6514832.98,AAPL
Thursday,4/2/98,6.6717,6.55012,6.62549,6692099.2,AAPL
Friday,4/3/98,6.62549,6.51852,6.5793,7051565.83,AAPL
Monday,4/6/98,6.56471,6.36777,6.38236,10872040.57,AAPL
Tuesday,4/7/98,6.32158,6.04926,6.23161,10241939.6,AAPL
Wednesday,4/8/98,6.17083,6.00306,6.07843,8008225.54,AAPL
Thursday,4/9/98,6.2924,6.07843,6.23161,5743250.63,AAPL
Monday,4/13/98,6.48934,6.07843,6.42855,10148580.33,AAPL
Tuesday,4/14/98,6.62549,6.41397,6.55012,11755074.27,AAPL
Wednesday,4/15/98,6.68628,6.47475,6.6571,19591787.22,AAPL
Thursday,4/16/98,7.20416,6.85404,6.97561,61659368.42,AAPL
Friday,4/17/98,6.94401,6.73248,6.77867,21176090.87,AAPL
Monday,4/20/98,7.17256,6.70087,7.05098,18217669.27,AAPL
Tuesday,4/21/98,7.0826,6.92942,7.02181,12198449.51,AAPL
Wednesday,4/22/98,7.05098,6.71789,6.73248,9615133.9,AAPL
Thursday,4/23/98,7.05098,6.61091,6.71789,16350010.16,AAPL
