e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
0,13.17,0,0,40,1,4.575,0,1,173.4489,1600
1,61.23,0,1,35,1,154,1,0,3749.113,1225
0,12.858,1,0,44,2,0,0,0,165.3282,1936
0,98.88,1,1,44,2,21.8,0,0,9777.254,1936
0,22.614,0,0,53,1,18.45,0,0,511.393,2809
0,15,1,0,60,3,0,0,0,225,3600
0,37.155,1,0,49,5,3.483,0,1,1380.494,2401
0,31.896,1,0,38,5,-2.1,0,0,1017.355,1444
0,47.295,1,0,52,2,5.29,0,1,2236.817,2704
1,29.1,0,1,45,1,29.6,0,1,846.81,2025
0,23.457,1,0,61,3,0,0,0,550.2309,3721
0,31.785,1,0,40,6,18.149,0,0,1010.286,1600
0,34.941,1,0,48,3,0.695,0,0,1220.874,2304
0,24.432,1,0,60,2,0.2,0,0,596.9226,3600
0,25.131,1,0,43,5,-4.25,0,0,631.5672,1849
0,19.074,0,1,43,1,0,0,0,363.8174,1849
1,38.772,1,0,47,2,4.15,1,0,1503.268,2209
1,12.48,1,0,27,2,-10,0,0,155.7504,729
1,45.39,1,0,57,2,122.5,0,1,2060.252,3249
0,39.861,1,0,35,2,1.6,0,1,1588.899,1225
1,102.6,1,0,53,5,40.999,1,1,10526.76,2809
0,39.579,1,0,36,4,12.175,0,0,1566.497,1296
0,40.194,1,0,40,3,8.3,0,1,1615.558,1600
0,25.254,0,1,31,1,9.687,0,1,637.7645,961
0,10.8,0,0,48,2,0.5,0,0,116.64,2304
0,27,0,1,42,1,0.13,0,0,729,1764
0,17.856,1,0,42,5,-15.495,0,0,318.8368,1764
1,38.94,1,0,35,2,0.2,1,0,1516.323,1225
0,12.24,0,1,32,2,-2.5,0,1,149.8176,1024
0,18,0,0,46,2,0,0,1,324,2116
1,21.456,0,0,25,1,-21.02,1,0,460.3599,625
0,14.025,1,0,39,5,1.4,0,0,196.7006,1521
0,15.186,1,1,36,4,-5.192,0,1,230.6146,1296
1,41.415,1,0,34,5,5.8,1,1,1715.202,1156
0,12.966,0,0,52,2,-4.25,0,0,168.1171,2704
0,58.8,1,0,41,2,63.7,0,1,3457.44,1681
1,63.849,1,0,44,5,5.899,1,0,4076.695,1936
1,47.1,0,1,61,2,59.8,1,0,2218.41,3721
0,36.072,1,0,63,3,72.225,0,1,1301.189,3969
1,107.64,1,0,51,2,69,1,1,11586.37,2601
1,58.92,1,0,49,4,19.679,0,0,3471.566,2401
1,48.615,1,0,36,4,-2.7,0,0,2363.418,1296
0,29.205,1,0,34,6,0.268,0,0,852.932,1156
0,24.441,0,0,36,2,2,0,0,597.3625,1296
0,18.525,1,0,28,5,-1.98,0,0,343.1756,784
0,15.36,1,0,38,4,-0.95,0,0,235.9296,1444
0,53.475,1,0,54,2,0.33,0,0,2859.575,2916
1,31.056,1,0,47,6,5.64,1,0,964.4751,2209
0,36.072,1,0,46,5,0,0,0,1301.189,2116
1,19.164,1,0,51,2,0.899,0,0,367.2589,2601
0,44.376,0,1,48,1,24.999,0,0,1969.229,2304
0,28.329,0,0,54,2,26.53,0,1,802.5323,2916
1,37.38,0,1,48,1,2.999,0,0,1397.265,2304
0,17.817,0,1,42,1,1.7,0,0,317.4455,1764
1,71.028,1,0,60,2,257.6,1,1,5044.977,3600
0,28.476,0,0,58,1,27,0,1,810.8826,3364
0,34.041,1,0,30,2,-4,0,0,1158.79,900
0,25.86,0,0,26,1,10.5,0,0,668.7396,676
1,77.355,1,0,33,4,30.9,1,1,5983.796,1089
0,15.414,0,0,50,4,0.145,0,0,237.5914,2500
0,73.902,1,0,44,4,14.299,0,0,5461.506,1936
1,10.545,0,1,25,1,1.031,1,0,111.197,625
0,24.177,0,1,25,1,-1.301,0,0,584.5273,625
1,33.42,0,0,46,2,8.412,1,0,1116.896,2116
0,53.226,1,0,51,8,-1.2,0,0,2833.007,2601
0,31.869,0,1,36,1,1.6,0,1,1015.633,1296
0,26.946,0,0,64,2,-3.8,0,0,726.0869,4096
1,90.726,1,0,62,2,13.6,1,1,8231.207,3844
0,28.8,1,0,31,8,0.1,0,0,829.4399,961
0,23.193,1,0,37,7,-1.886,0,0,537.9153,1369
1,36.036,0,1,64,1,18.25,1,0,1298.593,4096
0,56.082,1,0,28,2,9.8,0,0,3145.191,784
0,16.032,0,1,25,2,1.93,0,0,257.025,625
1,52.236,1,0,38,6,-3,0,0,2728.6,1444
0,39.63,1,0,41,3,0.225,0,0,1570.537,1681
1,34.47,1,0,50,5,27.798,1,0,1188.181,2500
0,31.548,1,0,56,6,-24.8,0,0,995.2763,3136
1,31.2,1,0,28,2,-72.8,0,0,973.4401,784
1,19.806,1,0,39,4,25.57,1,0,392.2776,1521
1,74.529,1,0,42,4,17.95,1,0,5554.572,1764
1,26.682,1,0,43,5,3.6,1,0,711.9291,1849
0,33.75,0,1,25,1,-3,0,0,1139.063,625
1,146.577,1,0,43,5,778.628,1,1,21484.82,1849
0,23.718,0,0,32,1,14.299,0,1,562.5435,1024
1,19.302,0,0,31,1,-3.4,0,0,372.5672,961
0,29.4,1,0,53,2,27.96,0,1,864.36,2809
0,16.977,0,0,35,2,-1.025,0,0,288.2185,1225
0,19.734,1,0,49,7,-1.3,0,0,389.4307,2401
0,14.28,1,0,43,4,-0.5,0,0,203.9184,1849
0,30.075,1,0,47,3,4.232,0,1,904.5057,2209
0,27,1,0,46,3,-3.3,0,0,729,2116
1,33.96,1,0,36,13,10.2,1,0,1153.281,1296
0,64.5,1,0,47,3,5.9,0,0,4160.25,2209
0,24.03,0,0,31,2,-4,0,0,577.4409,961
0,21.111,0,0,64,1,2.5,0,0,445.6743,4096
0,51.798,0,0,38,2,41.999,0,0,2683.033,1444
1,17.364,1,0,27,2,-37.504,1,0,301.5085,729
