date,AAPL,DOW,INTC,NKE,SBUX,YHOO
01-00,429827197.2,120931699.5,1661023408,79596260.62,293173270.9,850634400
01-01,472442891.2,107610715.3,1557595966,172860352.8,195688833.4,812745601
01-02,289967681.9,319950443.3,1302454100,131305053.1,200276117.7,508606400
01-03,204349358,88125380.99,1528901614,112255528.7,169892162.9,435661445
01-04,262567704.3,86906297.74,1324580734,97727570.64,129467760.4,421181942
01-05,867941870.8,90046056.95,1876324785,82620318.17,225779156.8,459445374
01-06,748820690,140112190.4,2086263963,180483926,78840047.76,604939930
01-07,940593007.5,139112862.6,1762652964,138562644.5,156596144.9,538275986
01-08,1215095334,199831896,2694939968,212603212.4,459511988.1,719514629
01-09,611888317.6,482438258.4,1307174133,137115581.1,220427047.7,346309112
01-10,519801642,210496950.9,1582321663,88150631.47,197148692.3,383905329
01-11,363720873.6,154261573.5,1456073081,85330336.55,172111351.2,398887174
01-12,227756480,161211025.7,1039967708,86209296.49,114816268.3,302605431
01-13,428267905.6,166789322.5,882684204.4,63423047.54,127814361.9,437888758
01-98,357684386.3,74550199.84,1654453140,147496401.6,168543453.6,478875200
01-99,501058452.6,66204823.65,1636034234,110053738.4,227648954.4,1112309600
02-00,251959863.6,102660381.5,1161942354,227909693.2,198700440.1,385677600
02-01,239335541.3,96574425.86,1093601754,177423890.4,156783303.4,441816400
02-02,268628225.4,97760096.36,1139144751,94925117.6,103967028.2,326912200
02-03,134449159.4,84590540.41,1155993161,108797883.8,136488262.8,251939506
02-04,163397142.3,79982999.06,1310801544,91694866.06,127746850.5,306275442
02-05,749359054.5,96301251.88,1684544163,109998449.6,153079971.2,403203478
02-06,654127824.8,115361226.9,1851999652,129390788.3,117479421.8,410851902
02-07,482068386.6,156574152.4,1321445278,139443251.2,190187029.2,414238358
02-08,873361797.3,151283714.7,1630027067,118584598.7,243715935.2,1136765210
02-09,474586484.2,525448086.9,1398108701,145436963.5,240930588.4,307489994
02-10,365663103.8,241843463.9,1174498033,93270048.77,144301049.7,363652737
02-11,323039400.8,149098923.8,1037127734,83318993.47,133239007.2,397063852
02-12,395652622.9,142948444.9,758202211.3,69322618.57,86085970.42,368232571
02-13,313886886.8,123101168.1,645476812,54905656.81,86523270.63,311964912
02-98,251673595.9,65608113.22,1638080393,228203659.6,154192664.8,390206400
02-99,276270360.4,65612342.61,1763792715,111162563.8,156739012.6,710467600
03-00,299864029.2,141325563.7,1345673419,185046632.6,192513454.8,371460400
