"name","hits","at_bat","average"
"Hank Aaron",3771,12364,0.304998382400518
"Tommie Aaron",216,944,0.228813559322034
"Andy Abad",2,21,0.0952380952380952
"John Abadie",11,49,0.224489795918367
"Ed Abbaticchio",772,3044,0.253613666228647
"Fred Abbott",107,513,0.208576998050682
"Jeff Abbott",157,596,0.263422818791946
"Kurt Abbott",523,2044,0.25587084148728
"Ody Abbott",13,70,0.185714285714286
"Frank Abercrombie",0,4,0
"Reggie Abercrombie",86,386,0.22279792746114
"Brent Abernathy",212,868,0.244239631336406
"Cliff Aberson",45,179,0.251396648044693
"Shawn Abner",191,840,0.227380952380952
"Cal Abrams",433,1611,0.268777157045313
"Bobby Abreu",2470,8480,0.29127358490566
"Joe Abreu",6,28,0.214285714285714
"Jose Abreu",354,1169,0.302822925577417
"Tony Abreu",147,579,0.253886010362694
"Bill Abstein",150,619,0.24232633279483
"Dustin Ackley",503,2064,0.243701550387597
"Merito Acosta",111,436,0.254587155963303
"Jerry Adair",1022,4019,0.254292112465788
"Jimmy Adair",21,76,0.276315789473684
"Cristhian Adames",14,68,0.205882352941176
"Bert Adams",137,678,0.202064896755162
"Bobby Adams",1082,4019,0.269221199303309
"Bob Adams",6,24,0.25
"Buster Adams",532,2003,0.265601597603595
"David Adams",27,140,0.192857142857143
"Dick Adams",18,89,0.202247191011236
"Doug Adams",3,14,0.214285714285714
"George Adams",3,13,0.230769230769231
"Glenn Adams",452,1617,0.279529993815708
"Herb Adams",88,337,0.261127596439169
"Jim Adams",1,4,0.25
"Lane Adams",0,3,0
"Matt Adams",299,1084,0.275830258302583
"Mike Adams",23,118,0.194915254237288
"Ricky Adams",53,247,0.214574898785425
"Russ Adams",218,884,0.246606334841629
"Ryan Adams",25,89,0.280898876404494
"Sparky Adams",1588,5557,0.285765700917761
"Spencer Adams",101,395,0.255696202531646
"Joe Adcock",1832,6606,0.277323645171057
"Bob Addis",150,534,0.280898876404494
"Jim Adduci",34,144,0.236111111111111
"Jim Adduci",25,132,0.189393939393939
"Bob Addy",341,1231,0.277010560519903
"Morrie Aderholt",70,262,0.267175572519084
"Dick Adkins",1,7,0.142857142857143
"Harry Atkinson",2,5,0.4
"Dave Adlesh",43,256,0.16796875
"Ehire Adrianza",48,228,0.210526315789474
"Troy Afenir",15,79,0.189873417721519
"Benny Agbayani",299,1091,0.274060494958753
"Tommie Agee",999,3912,0.255368098159509
"Harry Agganis",135,517,0.261121856866538
"Joe Agler",185,751,0.246338215712383
"Sam Agnew",314,1537,0.204294079375407
"Luis Aguayo",260,1104,0.235507246376812
"Chris Aguila",53,230,0.230434782608696
"Jesus Aguilar",10,52,0.192307692307692
"Bill Ahearn",1,4,0.25
"Nick Ahmed",109,491,0.221995926680244
"Willie Aikens",675,2492,0.270866773675762
"Danny Ainge",146,665,0.219548872180451
"George Aiton",4,17,0.235294117647059
"John Ake",10,52,0.192307692307692
"Bill Akers",124,475,0.261052631578947
"Butch Alberts",5,18,0.277777777777778
"Gus Alberts",84,426,0.197183098591549
"Hanser Alberto",22,99,0.222222222222222
"Jack Albright",23,99,0.232323232323232
"Arismendy Alcantara",59,304,0.194078947368421
"Israel Alcantara",31,115,0.269565217391304
"Luis Alcaraz",70,365,0.191780821917808
"Scotty Alcock",27,156,0.173076923076923
"Cory Aldridge",1,18,0.0555555555555556
"Chuck Aleno",67,320,0.209375
"Dale Alexander",811,2450,0.331020408163265
"Gary Alexander",293,1276,0.229623824451411
"Hugh Alexander",1,11,0.0909090909090909
"Matt Alexander",36,168,0.214285714285714
"Nin Alexander",9,69,0.130434782608696
"Walt Alexander",76,405,0.187654320987654
"Jason Alfaro",2,11,0.181818181818182
"Edgardo Alfonzo",1532,5385,0.284493964716806
"Eliezer Alfonzo",142,591,0.240270727580372
"Luis Alicea",1031,3971,0.259632334424578
"Andy Allanson",357,1486,0.240242261103634
"Bernie Allen",815,3404,0.239424206815511
"Bob Allen",532,2211,0.240615106286748
"Bob Allen",3,22,0.136363636363636
"Brandon Allen",70,344,0.203488372093023
"Chad Allen",229,851,0.26909518213866
"Dick Allen",1848,6332,0.291850915982312
"Dusty Allen",7,28,0.25
"Ethan Allen",1325,4418,0.299909461294703
"Gary Allenson",235,1061,0.221489161168709
"Ham Allen",18,66,0.272727272727273
"Hank Allen",212,881,0.240635641316686
"Hezekiah Allen",2,3,0.666666666666667
"Horace Allen",0,7,0
"Jack Allen",16,108,0.148148148148148
"Jamie Allen",61,273,0.223443223443223
"Jermaine Allensworth",268,1031,0.259941804073715
"Kim Allen",12,54,0.222222222222222
"Luke Allen",1,9,0.111111111111111
"Nick Allen",116,500,0.232
"Pete Allen",0,4,0
"Ron Allen",1,11,0.0909090909090909
"Rod Allen",11,50,0.22
"Sled Allen",3,23,0.130434782608696
"Gene Alley",999,3927,0.254392666157372
"Bob Allietta",8,45,0.177777777777778
"Gair Allie",83,418,0.198564593301435
