,coefficient
gr_liv_area,19830.576339300584
overall_qual,14014.026208796227
neighborhood_NridgHt,9097.734714939636
neighborhood_StoneBr,6096.997127969528
exter_qual,6083.18969119687
kitchen_qual,6032.987702299065
1st_flr_sf,5770.9663567551615
garage_area,5179.354743728441
bsmt_exposure,5150.553126621268
neighborhood_NoRidge,4234.499662418002
mas_vnr_area,4167.362909443754
screen_porch,3620.6441978315283
sale_type_New,3503.865992161365
bsmt_full_bath,3199.001306043703
bsmtfin_type_1,3169.6912982238646
bsmt_qual,3113.7687930242696
misc_feature_Gar2,2951.4194712652206
lot_area,2869.585053818533
land_contour_HLS,2666.2542350812996
neighborhood_GrnHill,2505.478061248632
overall_cond,2412.0241938976587
misc_feature_Othr,2281.52294647519
fireplace_qu,2202.8401940300546
exterior_1st_BrkFace,2102.3853368352006
roof_style_Hip,2093.302063591017
house_style_1Story,2030.0810770914
condition_1_Norm,2022.0342405485396
functional,2010.160093466391
roof_matl_WdShngl,1930.8465828169797
neighborhood_Somerst,1910.771942060611
foundation_PConc,1886.3852457323987
fireplaces,1885.535058845614
full_bath,1812.0943298680372
neighborhood_Crawfor,1690.4757462554905
wood_deck_sf,1677.7767241994031
lot_config_CulDSac,1602.3761726014407
exterior_1st_CemntBd,1413.5572844692604
year_remod/add,1411.4169792913412
condition_1_PosN,1392.7518974014138
heating_qc,1322.5700062480964
roof_matl_CompShg,1040.0012297223118
sale_type_Con,998.6714969591123
half_bath,889.9879332216759
condition_2_PosA,757.6184125348115
garage_finish,618.9445064771464
misc_feature_Shed,589.8060757911287
totrms_abvgrd,346.635057006163
alley_NA,329.2051754097109
condition_1_PosA,316.7872078742621
exterior_2nd_VinylSd,311.8572803327702
land_contour_Low,273.42743930535454
roof_matl_Membran,241.57391887577703
mas_vnr_type_Stone,208.32478793942943
garage_type_BuiltIn,173.52913490777405
neighborhood_NPkVill,118.79792268622867
foundation_Slab,99.8961460463551
utilities,60.36011341454302
